정류장ID,정류장명,정류장번호,위도,경도
JUB312101188,명덕교,31187,35.85426614,127.2087347
JUB312101189,명덕교,31188,35.85431732,127.2080475
JUB312101295,명덕리,31294,35.86274103,127.2115705
JUB312101303,명덕리,31302,35.86325931,127.2113895
JUB312101868,명석마을,31867,35.95188649,127.1856009
JUB312101869,명석마을,31868,35.9519516,127.1854252
JUB305032376,명성아파트,36310,35.8771889,127.0783473
JUB306101080,명주골네거리.대자인병원,31079,35.84548171,127.1528784
JUB306101085,명주골네거리.대자인병원,31084,35.84573059,127.1531788
JUB312032334,명지목마을,32334,35.94738056,127.3158889
JUB312100692,모고지마을,30692,35.8206748,127.0129298
JUB312100695,모고지마을,30695,35.82085984,127.0129311
JUB305032652,모다아울렛,36586,35.817286,126.994659
JUB305032654,모다아울렛,36588,35.81652,126.9936676
JUB305032653,모다아울렛종점,36587,35.8184428,126.9921056
JUB306100864,모래내,30864,35.83167509,127.1438408
JUB306100879,모래내,30879,35.83203886,127.1437315
JUB306100898,모래내시장,30898,35.83301705,127.1449033
JUB306100900,모래내시장,30900,35.83305726,127.1454977
JUB305032593,모래내입구,36527,35.8328279,127.1423091
JUB305032594,모래내입구,36528,35.832968,127.1424358
JUB313100837,모래재휴게소,30837,35.82897536,127.3127514
JUB313100840,모래재휴게소,30840,35.82915033,127.3128786
JUB311100826,모산종점,30826,35.82900931,126.9719403
JUB311100835,모산종점,30835,35.82926991,126.9720628
JUB312032799,모아엘가아파트,36268,35.962892,127.1221527
JUB312032806,모아엘가아파트,36276,35.9628886,127.1219443
JUB305032650,모악추모공원,36584,35.767559,127.0745004
JUB305032651,모악추모공원,36585,35.767667,127.0744556
JUB305032446,모악호수마을,36380,35.7280011,127.1200254
JUB305032447,모악호수마을,36381,35.7277121,127.1198941
JUB312100345,모정마을,30345,35.79308925,127.2294436
JUB312100347,모정마을,30347,35.79323363,127.2293409
JUB305032393,목련마을,36327,35.7862034,127.0709176
JUB305032394,목련마을,36328,35.7862391,127.0707957
JUB312101486,목효마을,31485,35.8782835,127.1696777
JUB312101488,목효마을,31487,35.8784454,127.169533
JUB305032471,묘동마을입구,36405,35.7892895,127.2287491
JUB305032472,묘동마을입구,36406,35.7892178,127.2289374
JUB312101951,무관마을,31950,35.98315002,127.1191534
JUB312101952,무관마을,31951,35.98303944,127.118822
JUB312101748,묵계,31747,35.92435977,127.3060352
